statusdate,draft,alpha,beta,done
2024-01-08,119.0,20.0,0,0
2024-01-15,117.5,20.0,0,0
2024-01-22,112.5,23.5,0,0
2024-01-29,118.5,26.5,0,0
2024-02-05,86.5,61.5,0,0
2024-02-07,94.25,66.5,0,0
2024-02-08,96.25,66.5,0,0
2024-02-12,96.75,66.5,0,0
2024-02-19,103.75,71.75,3.5,0
2024-02-26,92.0,86.75,4.5,0
2024-03-02,93.0,86.25,6.0,0
2024-03-05,92.5,87.25,6.0,0
2024-03-11,90.75,83.0,6.0,0
2024-03-12,94.75,83.0,6.0,0
2024-03-15,89.25,96.0,9.0,0
2024-03-19,85.25,96.25,13.5,0
2024-03-20,64.75,96.25,13.5,0
2024-03-22,66.75,97.75,16.25,0
2024-03-25,69.25,95.0,19.0,0
2024-03-26,48.95,111.50,19.00,0.00
2024-03-27,45.20,112.25,23.25,0.00
2024-03-28,44.20,112.25,31.25,0.00
2024-04-02,31.70,105.75,45.75,0.00
2024-04-03,30.45,109.25,48.75,0.00
2024-04-04,31.45,104.75,53.25,0.00
2024-04-09,45.05,101.25,51.75,0.00
